what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1348273708958
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1348273708959
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1348273708959
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1348273708960
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1348273708960
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1348273708961
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1348273708961
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1348273708962
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1348273708962
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1348273708963
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1348273708963
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1348273708964
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1348273708964
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1348273708965
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1348273708965
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1348273708965
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1348273708965
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1348273708966
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1348273708966
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1348273708967
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1348273708967
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1348273708968
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1348273708968
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1348273708969
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1348273708969
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1348273708970
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1348273708970
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1348273708971
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1348273708971
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1348273708972
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1348273708972
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1348273708973
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1348273708973
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1348273708974
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1348273708974
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1348273708975
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1348273708976
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1348273708976
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1348273708977
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1348273708979
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1348273708979
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1348273708979
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1348273708980
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1348273708981
started,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1348273708981
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1348273708981
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1348273708982
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1348273708982
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1348273708983
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1348273708983
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1348273708984
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1348273708984
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1348273708985
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1348273708985
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1348273708986
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1348273708986
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1348273708987
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1348273708988
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1348273708988
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1348273708990
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1348273708991
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1348273708993
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1348273708994
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1348273708995
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1348273708996
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1348273708997
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1348273709043
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1348273709043
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1348273709044
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1348273709045
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1348273709046
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1348273709046
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1348273709047
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1348273709048
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1348273709048
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1348273709049
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1348273709049
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1348273709050
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1348273709050
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1348273709050
started,bundle,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms",1348273709050
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1348273709051
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1348273709051
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1348273709052
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1348273709052
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1348273709054
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1348273709054
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1348273709055
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1348273709056
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1348273709058
os,sysinfo,,,"win32",1348273709062
arch,sysinfo,,,"x86",1348273709062
ws,sysinfo,,,"win32",1348273709062
locale,sysinfo,,,"en_US",1348273709062
processors,sysinfo,,,"4",1348273709062
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1348273709062
java.runtime.version,sysinfo,,,"1.7.0_07-b11",1348273709062
java.specification.name,sysinfo,,,"Java Platform API Specification",1348273709062
java.specification.vendor,sysinfo,,,"Oracle Corporation",1348273709062
java.specification.version,sysinfo,,,"1.7",1348273709062
java.vendor,sysinfo,,,"Oracle Corporation",1348273709062
java.version,sysinfo,,,"1.7.0_07",1348273709062
java.vm.info,sysinfo,,,"mixed mode, sharing",1348273709062
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1348273709062
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1348273709062
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1348273709062
java.vm.specification.version,sysinfo,,,"1.7",1348273709062
java.vm.vendor,sysinfo,,,"Oracle Corporation",1348273709062
java.vm.version,sysinfo,,,"23.3-b01",1348273709062
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1348273709066
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1348273709080
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1348273709298
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1348273709298
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1348273709392
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1348273710063
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1348273710211
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1348273710265
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1348273710276
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1348273710293
started,bundle,com.android.ide.eclipse.traceview,20.0.3.v201208082019-427395,"com.android.ide.eclipse.traceview",1348273712018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348273715417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348273828780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1348273828831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348273832377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348273836622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348273841653
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1348273994202
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1348273994256
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1348273994326
error,log,,,"Failed to load properties file for project 'Aerotech Motor Control'",1348273994583
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1348273994602
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1348273994843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348273994943
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1348273994968
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1348273995421
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1348273995437
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1348273995484
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1348274004728
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1348274004740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348274014789
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348274071156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348274072465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348274074015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348274116741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348274177493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348274177879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348274307668
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1348274309601
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1348274309609
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1348274398826
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1348274399081
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1348274399098
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1348274403713
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348274407140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348274409547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348274409841
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1348274541559
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1348357710533
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348357713600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348357724184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348357873578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348357874884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348357887605
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348357892919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348357897824
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1348357898118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348357902711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348357903064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348357903079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348357911557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348357912168
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348357913156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348357913464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348357917434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348357917979
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348357920043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348357920555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348357923414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348357924883
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348357967335
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1348357970904
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1348357971526
